x;exp_x
2.8;16.444646771097048
2.816;16.709877305482426
2.832;16.979385659716993
2.848;17.25324082941133
2.864;17.531512922984493
2.88;17.814273179612197
2.896;18.101593987464394
2.912;18.393548902237065
2.928;18.69021266598287
2.944;18.991661226245515
2.96;19.297971755502758
2.976;19.609222670922964
2.992;19.925493654440345
3.008;20.246865673153952
3.024;20.573421000055713
3.04;20.905243235092758
3.056;21.24241732656946
3.072;21.585029592894678
3.088;21.93316774467972
3.104;22.28692090719277
3.12;22.646379643175397
3.136;23.011635976027165
3.152;23.38278341336408
3.168;23.759916970957082
3.184;24.14313319705658
3.2;24.532530197109352
3.216;24.92820765887405
3.232;25.330266877941835
3.248;25.738810783668583
3.264;26.153943965525364
3.28;26.575772699873955
3.296;27.004404977174104
3.312;27.439950529629726
3.328;27.88252085928093
3.344;28.33222926654915
3.36;28.789190879242675
3.376;29.253522682029995
3.392;29.725343546388515
3.408;30.204774261036306
3.424;30.691937562854672
3.44;31.18695816830946
3.456;31.689962805379164
3.472;32.20108024599797
3.488;32.72044133902209
3.504;33.24817904372775
3.52;33.78442846384956
3.536;34.3293268821677
3.552;34.88301379565318
3.568;35.44563095117973
3.584;36.01732238181185
3.6;36.59823444367799
3.616;37.18851585343858
3.632;37.78831772635826
3.648;38.397793614992246
3.664;39.01709954849662
3.68;39.646394072572605
3.696;40.28583829005519
3.712;40.9355959021563
3.728;41.595833250373204
3.744;42.26671935907285
3.76;42.94842597876301
3.776;43.64112763006143
3.792;44.34500164837393
3.808;45.06022822929331
3.824;45.786990474730416
3.84;46.5254744397892
3.856;47.27586918039787
3.872;48.0383668017082
3.888;48.81316250727554
3.904;49.600454649031974
3.92;50.400444778065484
3.936;51.213337696218154
3.952;52.03934150851656
3.968;52.878667676447755
3.984;53.73153107209462
4.0;54.598150033144236
4.016;55.47874641878359
4.032;56.37354566649666
4.048;57.282776849777704
4.064;58.2066727367753
4.08;59.14546984988227
4.096;60.09940852628669
4.112;61.068732979499536
4.128;62.0536913618747
4.144;63.054535828137276
4.16;64.07152259993664
4.176;65.1049120314405
4.192;66.15496867598709
4.208;67.22196135381215
4.224;68.30616322086846
4.24;69.4078518387552
4.256;70.52730924577533
4.272;71.6648220291388
4.288;72.82068139833055
4.304;73.99518325966169
4.32;75.18862829202311
4.336;76.40132202386096
4.352;77.63357491139355
4.368;78.8857024180899
4.384;80.1580250954301
4.4;81.45086866496814
4.416;82.76456410171856
4.432;84.09944771888776
4.448;85.45586125397202
4.464;86.83415195624421
4.48;88.23467267565151
4.496;89.65778195314685
4.512;91.10384411247732
4.528;92.57322935345337
4.544;94.06631384672148
4.56;95.58347983006624
4.576;97.12511570626519
4.592;98.69161614252211
4.608;100.28338217150392
4.624;101.90082129400727
4.64;103.54434758328101
4.656;105.21438179103109
4.672;106.91135145513537
4.688;108.6356910090957
4.704;110.38784189325513
4.72;112.16825266780917
4.736;113.97737912763962
4.752;115.81568441900053
4.768;117.68363915808615
4.784;119.58172155151131
4.8;121.51041751873485
4.816;123.47022081645777
4.832;125.46163316502748
4.848;127.48516437688107
4.864;129.5413324870601
4.88;131.63066388583022
4.896;133.75369345344018
4.912;135.91096469705394
4.928;138.1030298898916
4.944;140.33045021261418
4.96;142.5937958969891
4.976;144.8936463718725
4.992;147.2305904115464
5.008;149.60522628644785
5.024;152.01816191632957
5.04;154.47001502589086
5.056;156.96141330291817
5.072;159.492994558977
5.088;162.0654068926947
5.104;164.67930885567773
5.12;167.3353696211041
5.136;170.03426915503547
5.152;172.7766983904923
5.168;175.5633594043363
5.184;178.39496559700598
5.2;181.27224187515122
5.216;184.19592483721306
5.232;187.16676296199716
5.248;190.18551680028833
5.264;193.25295916955574
5.28;196.3698753517984
5.296;199.5370632945816
5.312;202.75533381531596
5.328;206.02551080883092
5.344;209.34843145829655
5.36;212.72494644954682
5.376;216.15592018885994
5.392;219.642231024251
5.408;223.18477147033394
5.424;226.78444843681012
5.44;230.44218346064218
5.456;234.15891294197246
5.472;237.9355883838467
5.488;241.77317663580382
5.504;245.6726601413947
5.52;249.6350371896937
5.536;253.66132217086505
5.552;257.752545835853
5.568;261.9097555602595
5.584;266.13401561247815
5.6;270.42640742615254
5.616;274.7880298770294
5.632;279.2199995642766
5.648;283.72345109633875
5.664;288.2995373814031
5.68;292.94942992255045
5.696;297.6743191176661
5.712;302.4754145641884
5.728;307.3539453687723
5.744;312.3111604619473
5.76;317.34832891785044
5.776;322.4667402791164
5.792;327.6677048870071
5.808;332.95255421686676
5.824;338.32264121898635
5.84;343.77934066496647
5.856;349.32404949966644
5.872;354.95818719882965
5.888;360.6831961324773
5.904;366.5005419341628
5.92;372.4117138761822
5.936;378.41822525083575
5.952;384.5216137578392
5.968;390.7234418979833
5.984;397.02529737314245
6.0;403.4287934927351
6.016;409.93556958673986
6.032;416.5472914253727
6.048;423.2656516455334
6.064;430.09237018412995
6.08;437.02919471839147
6.096;444.07790111328336
6.112;451.2402938761384
6.128;458.5182066186204
6.144;465.9135025261389
6.16;473.42807483483483
6.176;481.063847316259
6.192;488.82277476986854
6.208;496.70684352346615
6.224;504.7180719417105
6.24;512.8585109428291
6.256;521.1302445236643
6.272;529.5353902931877
6.288;538.0761000146201
6.304;546.7545601562944
6.32;555.572992451403
6.336;564.5336544667744
6.352;573.6388401808221
6.368;582.8908805708156
6.384;592.2921442096239
6.4;601.8450378720822
6.416;611.5520071511403
6.432;621.4155370839469
6.448;631.4381527880333
6.464;641.6224201077572
6.48;651.9709462711725
6.496;662.4863805574942
6.512;673.1714149753278
6.528;684.0287849518405
6.544;695.0612700330421
6.56;706.2716945953657
6.576;717.6629285687239
6.592;729.2378881712256
6.608;740.9995366557442
6.624;752.9508850685268
6.64;765.0949930200377
6.656;777.4349694682362
6.672;789.9739735144864
6.688;802.7152152123042
6.704;815.6619563891492
6.72;828.8175114814695
6.736;842.1852483832166
6.752;855.7685893080434
6.768;869.5710116654103
6.784;883.5960489508213
6.8;897.8472916504176
6.816;912.3283881601614
6.832;927.0430457198462
6.848;941.9950313621696
6.864;957.1881728771145
6.88;972.6263597918842
6.896;988.3135443666426
6.912;1004.2537426063149
6.928;1020.4510352887054
6.944;1036.9095690092008
6.96;1053.6335572423195
6.976;1070.6272814203855
6.992;1087.8950920295974
7.008;1105.4414097237775
7.024;1123.2707264560822
7.04;1141.387606628968
7.056;1159.7966882627022
7.072;1178.5026841827219
7.088;1197.5103832261434
7.104;1216.8246514677298
7.12;1236.450433465634
7.136;1256.3927535272308
7.152;1276.6567169953687
7.168;1297.2475115553648
7.184;1318.1704085630806
7.2;1339.430764394418
7.216;1361.0340218165807
7.232;1382.9857113814523
7.248;1405.291452841448
7.264;1427.9569565882018
7.28;1450.9880251144575
7.296;1474.3905544995393
7.312;1498.1705359187802
7.328;1522.3340571772947
7.344;1546.8873042684913
7.36;1571.83656295772
7.376;1597.1882203914624
7.392;1622.9487667324768
7.408;1649.1247968213145
7.424;1675.7230118646355
7.44;1702.750221150754
7.456;1730.2133437928528
7.472;1758.119410500315
7.488;1786.4755653786237
7.504;1815.2890677582893
7.52;1844.5672940532859
7.536;1874.317739649443
7.552;1904.5480208233116
7.568;1935.2658766919715
7.584;1966.4791711942864
7.6;1998.1958951041172
7.616;2030.4241680760017
7.632;2063.1722407238312
7.648;2096.4484967330536
7.664;2130.2614550069416
7.68;2164.619771847478
7.696;2199.532243171419
7.712;2235.007806762093
7.728;2271.055544557525
7.744;2307.6846849754606
7.76;2344.9046052758927
7.776;2382.724833961691
7.792;2421.1550532179485
7.808;2460.2051013906776
7.824;2499.8849755054775
7.84;2540.2048338268282
7.856;2581.1749984586627
7.872;2622.8059579868795
7.888;2665.108370164481
7.904;2708.0930646400143
7.92;2751.7710457300204
7.936;2796.1534952362003
7.952;2841.251775308018
7.968;2887.077431351469
7.984;2933.642194984773
